Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8036_1_Y2,SetA, 50 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 14 , 0 , 0 ," $3.50 now","$10 in 365 days"
8036_1_Y2,SetA, 51 ,52865.390,135.141,0.110,  1.140,  0.000,  1.795,   1 , 16 , 1 , 0 ," $2.50 now","$10 in 7 days"
8036_1_Y2,SetA, 52 ,52867.570,137.324,0.470,  0.000,  1.219,  1.889,   1 , 15 , 2 , 0 ,"$10 in 7 days"," $3.00 now"
8036_1_Y2,SetA, 53 ,52869.850,139.602,0.563,  1.125,  0.000,  2.638,   3 , 16 , 1 , 0 ," $2.50 now","$10 in 90 days"
8036_1_Y2,SetA, 54 ,52872.880,142.629,0.188,  1.030,  0.000,  1.764,   2 , 16 , 1 , 0 ," $2.50 now","$10 in 30 days"
8036_1_Y2,SetA, 55 ,52875.030,144.781,0.017,  1.078,  0.000,  1.796,   3 , 6 , 1 , 0 ," $7.50 now","$10 in 90 days"
8036_1_Y2,SetA, 56 ,52877.220,146.969,-0.002,  0.980,  0.000,  2.026,   3 , 7 , 1 , 0 ," $7.00 now","$10 in 90 days"
8036_1_Y2,SetA, 57 ,52879.640,149.387,-0.002,  1.558,  0.000,  2.306,   1 , 6 , 1 , 0 ," $7.50 now","$10 in 7 days"
8036_1_Y2,SetA, 58 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 17 , 0 , 0 ,"$10 in 365 days"," $2.00 now"
8036_1_Y2,SetA, 59 ,52882.330,152.082,0.001,  0.000,  1.936,  2.716,   3 , 10 , 2 , 0 ," $5.50 now","$10 in 90 days"
8036_1_Y2,SetA, 60 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 5 , 0 , 0 ," $8.00 now","$10 in 365 days"
8036_1_Y2,SetA, 61 ,52885.440,155.188,0.001,  0.000,  1.062,  1.732,   2 , 1 , 2 , 0 ,"$10 in 30 days"," $10.00 now"
8036_1_Y2,SetA, 62 ,52887.560,157.309,0.047,  1.046,  0.000,  1.685,   3 , 8 , 1 , 0 ," $6.50 now","$10 in 90 days"
8036_1_Y2,SetA, 63 ,52889.630,159.383,0.126,  1.031,  0.000,  1.686,   2 , 0 , 1 , 0 ," $10.50 now","$10 in 30 days"
8036_1_Y2,SetA, 64 ,52891.710,161.461,-0.002,  0.747,  0.000,  1.449,   1 , 2 , 1 , 0 ," $9.50 now","$10 in 7 days"
8036_1_Y2,SetA, 65 ,52893.550,163.301,0.046,  2.573,  0.000,  3.275,   1 , 4 , 1 , 0 ," $8.50 now","$10 in 7 days"
8036_1_Y2,SetA, 66 ,52897.210,166.965,0.016,  0.000,  1.296,  2.029,   2 , 14 , 2 , 0 ," $3.50 now","$10 in 30 days"
8036_1_Y2,SetA, 67 ,52899.630,169.383,0.001,  1.686,  0.000,  2.902,   1 , 10 , 1 , 0 ," $5.50 now","$10 in 7 days"
8036_1_Y2,SetA, 68 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 9 , 0 , 0 ," $6.00 now","$10 now"
8036_1_Y2,SetA, 69 ,52902.930,172.676,0.093,  3.260,  0.000,  4.102,   4 , 22 , 1 , 0 ,"$10 in 180 days"," $0.00 now"
8036_1_Y2,SetA, 70 ,52907.420,177.168,0.000,  2.543,  0.000,  3.276,   2 , 9 , 1 , 0 ," $6.00 now","$10 in 30 days"
8036_1_Y2,SetA, 71 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 13 , 0 , 0 ,"$10 in 365 days"," $4.00 now"
8036_1_Y2,SetA, 72 ,52911.090,180.836,0.061,  0.000,  1.012,  1.699,   1 , 17 , 2 , 0 ,"$10 in 7 days"," $2.00 now"
8036_1_Y2,SetA, 73 ,52913.180,182.926,-0.001,  0.669,  0.000,  1.325,   3 , 19 , 1 , 0 ," $1.00 now","$10 in 90 days"
8036_1_Y2,SetA, 74 ,52914.890,184.641,0.000,  0.000,  1.794,  3.853,   4 , 15 , 2 , 0 ,"$10 in 180 days"," $3.00 now"
8036_1_Y2,SetA, 75 ,52919.130,188.883,0.001,  1.327,  0.000,  1.998,   2 , 5 , 1 , 0 ," $8.00 now","$10 in 30 days"
